size time error
4 120.02209551334381 0.0032006950636268294
6 120.0234456539154 0.0032014360601481124
8 120.02211799621583 0.003161089845933747
10 120.02339787483216 0.0033888183353477275
12 120.01871478557587 0.0009168592405168574
14 120.01936237812042 0.0007401313628217292
16 120.02307634353637 0.0029342828659646636
18 120.03246848583221 0.01281400102458597
20 120.04367547035217 0.00861930873538748
22 120.10068116188049 0.055227762562292275
24 120.0941253900528 0.04642473571007066
26 120.13447091579437 0.059403851281897124
28 120.01993415355682 0.0013230126094390144
30 120.01983535289764 0.0014279717431825145
